--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
244.339  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/zipPlugin.vim
244.401  000.036  000.036: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/editorconfig.lua
244.460  000.033  000.033: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/man.lua
244.543  000.055  000.055: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/nvim/net.lua
244.628  000.060  000.060: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/osc52.lua
244.706  000.052  000.052: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/shada.lua
244.756  000.025  000.025: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/plugin/tohtml.lua
244.881  000.006  000.006: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
245.004  000.009  000.009: sourcing /opt/homebrew/Cellar/neovim/HEAD-2ef48fc/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
245.374  000.212  000.212: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/blink.cmp/plugin/blink-cmp.lua
245.541  000.023  000.023: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/github-nvim-theme/plugin/github_theme.lua
245.673  000.038  000.038: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/gitsigns.nvim/plugin/gitsigns.lua
245.874  000.083  000.083: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/markdown-preview.nvim/plugin/mkdp.vim
246.153  000.136  000.136: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/nvim-lspconfig/plugin/lspconfig.lua
246.306  000.021  000.021: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/nvim-treesitter/plugin/nvim-treesitter.lua
246.410  000.004  000.004: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
246.560  000.030  000.030: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/otter.nvim/plugin/otter.lua
246.674  000.017  000.017: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/plenary.nvim/plugin/plenary.vim
246.799  000.031  000.031: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/quarto-nvim/plugin/quarto.lua
246.975  000.086  000.086: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/telescope.nvim/plugin/telescope.lua
247.186  000.060  000.060: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/typst-preview.nvim/plugin/init.lua
247.300  000.020  000.020: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/vim-sneak/plugin/sneak.vim
247.399  000.007  000.007: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/vimtex/plugin/vimtex.vim
247.514  000.016  000.016: sourcing /Users/s_a_b/.local/share/nvim/pack/plugins/start/which-key.nvim/plugin/which-key.lua
247.515  003.153: loading rtp plugins
247.516  000.001: loading packages
247.517  000.001: loading after plugins
247.525  000.008: inits 3
248.237  000.711: reading ShaDa
248.288  000.052: opening buffers
248.303  000.015: BufEnter autocommands
248.304  000.001: editing files in windows
248.324  000.019: --- NVIM STARTED ---

